kode,uraian,satuan,tenaga,bahan,alat
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.12705,Lembar,ls,-,-,-
0.65,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.12705,Lembar,ls,-,-,-
0.65,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.12705,Lembar,ls,-,-,-
0.65,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.12705,Lembar,ls,-,-,-
0.65,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.127,Lembar,ls,-,-,-
1.95,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.12705,Lembar,ls,-,-,-
0.65,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.12705,Lembar,ls,-,-,-
0.65,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.12705,Lembar,ls,-,-,-
0.65,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.127,Lembar,ls,-,-,-
1.95,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.127,Lembar,ls,-,-,-
0.65,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.12705,Lembar,ls,-,-,-
0.65,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.12705,Lembar,ls,-,-,-
0.65,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.127,Lembar,ls,-,-,-
0.65,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
1.02,Batang,ls,-,-,-
0.9603,Batang,ls,-,-,-
1.05,Batang,ls,-,-,-
1.05,Batang,ls,-,-,-
3.6,Batang,ls,-,-,-
3.6,Batang,ls,-,-,-
3.6,Batang,ls,-,-,-
0.3,kaleng,ls,-,-,-
0.3,kaleng,ls,-,-,-
0.364,Lembar,ls,-,-,-
0.364,Lembar,ls,-,-,-
0.364,Lembar,ls,-,-,-
1.1,Batang,ls,-,-,-
4.4,Batang,ls,-,-,-
1.1,Lembar,ls,-,-,-
4.4,Batang,ls,-,-,-
4.4,Batang,ls,-,-,-
1.1,Lembar,ls,-,-,-
4.4,Batang,ls,-,-,-
1.1,Lembar,ls,-,-,-
0.2,Lembar,ls,-,-,-
0.3,Lembar,ls,-,-,-
4.8,Batang,ls,-,-,-
9.9,Batang,ls,-,-,-
0.1,Kaleng,ls,-,-,-
0.26,Lembar,ls,-,-,-
4.8,Batang,ls,-,-,-
9.9,Batang,ls,-,-,-
0.1,Kaleng,ls,-,-,-
1.65,batang,ls,-,-,-
1.65,batang,ls,-,-,-
1.65,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.65,batang,ls,-,-,-
1.65,batang,ls,-,-,-
1.65,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.65,batang,ls,-,-,-
1.65,batang,ls,-,-,-
1.65,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
1.45,batang,ls,-,-,-
8.8,Batang,ls,-,-,-
14.3,Batang,ls,-,-,-
14.3,Batang,ls,-,-,-
8.8,Batang,ls,-,-,-
14.3,Batang,ls,-,-,-
14.3,Batang,ls,-,-,-
8.8,Batang,ls,-,-,-
14.3,Batang,ls,-,-,-
