kode,uraian,satuan,tenaga,bahan,alat
52018382.42,0.591040686375737,ls,-,-,"Tali Keselamatan (Life Line) 1.0;Pembatas Area (Restricted Area) 1.0;Pagar pengamanan (guard railing) 1.0;Penahan jatuh (safety deck) 1.0;Topi Pelindung (Safety Helmet) 70.0;Pelindung Mata (Google, Spectacles) 5.0;Sarung Tangan (Safety Gloves) 20.0;Sepatu Keselamatan (Safety Shoes) 5.0;Sepatu keselamatan (Rubber Safety Shoes and Toe Cap); 20.0;Rompi Keselamatan (Safety Vest) 70.0;Sabun Cuci Tangan 5 liter 3.0"
2569295.42,2569295.42,ls,-,-,Bendera K3 1.0;Lampu Darurat (Emergency Lamp) 2.0;Pembuatan Kartu Identitas Pekerja (KIP) 50.0;Program Inspeksi 1.0;Sirine 1.0;Rambu Jalur Evakuasi dan Titik Kumpul 1.0;Pelaporan dan Penyelidikan Insiden 1.0;Pelaporan pelaksanaan Keselamatan Konstruksi 1.0
312633820.32,3.55219249714996,ls,-,-,-
25.5,146100,ls,-,-,-
11.25,39900,ls,-,-,-
0.5772,1858100,ls,-,-,-
1745745667.78692,19.8354248964409,ls,-,-,-
25.12,1382600,ls,-,-,-
2.512,174900,ls,-,-,-
3204.8136,92200,ls,-,-,-
728.564326391866,17300,ls,-,-,-
16.9,90800,ls,-,-,-
14.4,1382600,ls,-,-,-
14.4,80900,ls,-,-,-
3204.8136,92200,ls,-,-,-
112.106826,17300,ls,-,-,-
1.44,1228600,ls,-,-,-
2.88,372500,ls,-,-,-
10.71,60500,ls,-,-,-
3.84,1382600,ls,-,-,-
3.84,80900,ls,-,-,-
38.4,226400,ls,-,-,-
1141.6258224,92200,ls,-,-,-
493.8165,17300,ls,-,-,-
3.63,90800,ls,-,-,-
570.9441024,92200,ls,-,-,-
0.72,1228600,ls,-,-,-
1.44,372500,ls,-,-,-
4.59,60500,ls,-,-,-
2587.31723736,92200,ls,-,-,-
211.22759736,92200,ls,-,-,-
888.64776,17300,ls,-,-,-
3.2,657500,ls,-,-,-
0.8,372500,ls,-,-,-
1.5,60500,ls,-,-,-
5.4,962100,ls,-,-,-
0.45,1382600,ls,-,-,-
0.45,80900,ls,-,-,-
21.661344,17300,ls,-,-,-
9.745632,17300,ls,-,-,-
4588689144.07445,52.137376348633,ls,-,-,-
16.2,1382600,ls,-,-,-
16.2,80900,ls,-,-,-
9242.6824224,92200,ls,-,-,-
3404.75688,17300,ls,-,-,-
10.5,1382600,ls,-,-,-
10.5,80900,ls,-,-,-
77.5,238600,ls,-,-,-
2587.31723736,92200,ls,-,-,-
211.22759736,92200,ls,-,-,-
888.64776,17300,ls,-,-,-
3.75,1382600,ls,-,-,-
3.75,80900,ls,-,-,-
42.5,238600,ls,-,-,-
2587.31723736,92200,ls,-,-,-
211.22759736,92200,ls,-,-,-
888.64776,17300,ls,-,-,-
3.6,1382600,ls,-,-,-
3.6,80900,ls,-,-,-
1260.66852,18400,ls,-,-,-
12.8,1382600,ls,-,-,-
12.8,80900,ls,-,-,-
9242.6824224,92200,ls,-,-,-
3404.75688,17300,ls,-,-,-
7.5,1382600,ls,-,-,-
7.5,80900,ls,-,-,-
2587.31723736,92200,ls,-,-,-
211.22759736,92200,ls,-,-,-
888.64776,17300,ls,-,-,-
